CID,CNAME,CITY,OID,ODATE,ONUM,OTAMT,PID,PNAME,PUPRICE,PQTY,SUPID,CAMPNAME,CAMPCONTACT,CAMPPHONE
1,Maria-Anders,Berlin,1,7/4/2012,542378,440,11,Queso Cabrales,16.8,12,5,Cooperativa de Quesos 'Las Cabras',Antonio del Valle Saavedra,(98) 598 76 54
1,Maria-Anders,Berlin,1,7/4/2012,542378,440,42,Singaporean Hokkien Fried Mee,11.2,10,20,Leka Trading,Chandra Leka,555-8787
1,Maria-Anders,Berlin,1,7/4/2012,542378,440,72,Mozzarella di Giovanni,27.8,5,14,Formaggi Fortini s.r.l.,Elio Rossi,(0544) 60323
2,Ana-Trujillo,México D.F.,2,7/5/2012,542379,1863.4,14,Tofu,18.6,9,6,Mayumi's,Mayumi Ohno,(06) 431-7877
2,Ana-Trujillo,México D.F.,2,7/5/2012,542379,1863.4,51,Manjimup Dried Apples,42.4,40,24,G'day Mate,Wendy Mackenzie,(02) 555-5914
3,Antonio-Moreno,México D.F.,3,7/8/2012,542380,1813,41,Jack's New England Clam Chowder,7.7,10,19,New England Seafood Cannery,Robb Merchant,(617) 555-3267
3,Antonio-Moreno,México D.F.,3,7/8/2012,542380,1813,51,Manjimup Dried Apples,42.4,35,24,G'day Mate,Wendy Mackenzie,(02) 555-5914
3,Antonio-Moreno,México D.F.,3,7/8/2012,542380,1813,65,Louisiana Fiery Hot Pepper Sauce,16.8,15,2,New Orleans Cajun Delights,Shelley Burke,(100) 555-4822
4,Thomas-Hardy,London,4,7/8/2012,542381,670.8,22,Gustaf's Knäckebröd,16.8,6,9,PB Knäckebröd AB,Lars Peterson,031-987 65 43
4,Thomas-Hardy,London,4,7/8/2012,542381,670.8,57,Ravioli Angelo,15.6,15,26,Pasta Buttini s.r.l.,Giovanni Giudici,(089) 6547665
4,Thomas-Hardy,London,4,7/8/2012,542381,670.8,65,Louisiana Fiery Hot Pepper Sauce,16.8,20,2,New Orleans Cajun Delights,Shelley Burke,(100) 555-4822
5,Christina-Berglund,Luleå,5,7/9/2012,542382,3730,20,Sir Rodney's Marmalade,64.8,40,8,Specialty Biscuits Ltd.,Peter Wilson,(161) 555-4448
5,Christina-Berglund,Luleå,5,7/9/2012,542382,3730,33,Geitost,2,25,15,Norske Meierier,Beate Vileid,(0)2-953010
5,Christina-Berglund,Luleå,5,7/9/2012,542382,3730,60,Camembert Pierrot,27.2,40,28,Gai pâturage,Eliane Noz,38.76.98.06
6,Hanna-Moos,Mannheim,6,7/10/2012,542383,1444.8,31,Gorgonzola Telino,10,20,14,Formaggi Fortini s.r.l.,Elio Rossi,(0544) 60323
6,Hanna-Moos,Mannheim,6,7/10/2012,542383,1444.8,39,Chartreuse verte,14.4,42,18,Aux joyeux ecclésiastiques,Guylène Nodier,(1) 03.83.00.68
6,Hanna-Moos,Mannheim,6,7/10/2012,542383,1444.8,49,Maxilaku,16,40,23,Karkki Oy,Anne Heikkonen,(953) 10956
7,Frédérique-Citeaux,Strasbourg,7,7/11/2012,542384,625.2,24,Guaraná Fantástica,3.6,15,10,Refrescos Americanas LTDA,Carlos Diaz,(11) 555 4640
7,Frédérique-Citeaux,Strasbourg,7,7/11/2012,542384,625.2,55,Pâté chinois,19.2,21,25,Ma Maison,Jean-Guy Lauzon,(514) 555-9022
7,Frédérique-Citeaux,Strasbourg,7,7/11/2012,542384,625.2,74,Longlife Tofu,8,21,4,Tokyo Traders,Yoshi Nagase,(03) 3555-5011
8,Martín-Sommer,Madrid,8,7/12/2012,542385,2490.5,2,Chang,15.2,20,1,Exotic Liquids,Charlotte Cooper,(171) 555-2222
8,Martín-Sommer,Madrid,8,7/12/2012,542385,2490.5,16,Pavlova,13.9,35,7,Pavlova Ltd.,Ian Devling,(03) 444-2343
8,Martín-Sommer,Madrid,8,7/12/2012,542385,2490.5,36,Inlagd Sill,15.2,25,17,Svensk Sjöföda AB,Michael Björn,08-123 45 67
8,Martín-Sommer,Madrid,8,7/12/2012,542385,2490.5,59,Raclette Courdavault,44,30,28,Gai pâturage,Eliane Noz,38.76.98.06
9,Laurence-Lebihan,Marseille,9,7/15/2012,542386,517.8,53,Perth Pasties,26.2,15,24,Gday Mate,Wendy Mackenzie,(02) 555-5914
9,Laurence-Lebihan,Marseille,9,7/15/2012,542386,517.8,77,Original Frankfurter grüne Soße,10.4,12,12,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,(069) 992755
10,Elizabeth-Lincoln,Tsawassen,10,7/16/2012,542387,1119.9,27,Schoggi Schokolade,35.1,25,11,Heli Süßwaren GmbH & Co. KG,Petra Winkler,(010) 9984510
10,Elizabeth-Lincoln,Tsawassen,10,7/16/2012,542387,1119.9,39,Chartreuse verte,14.4,6,18,Aux joyeux ecclésiastiques,Guylène Nodier,(1) 03.83.00.68
10,Elizabeth-Lincoln,Tsawassen,10,7/16/2012,542387,1119.9,77,Original Frankfurter grüne Soße,10.4,15,12,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,(069) 992755
11,Victoria-Ashworth,London,11,7/17/2012,542388,2018.6,2,Chang,15.2,50,1,Exotic Liquids,Charlotte Cooper,(171) 555-2222
11,Victoria-Ashworth,London,11,7/17/2012,542388,2018.6,5,Chef Anton's Gumbo Mix,17,65,2,New Orleans Cajun Delights,Shelley Burke,(100) 555-4822
11,Victoria-Ashworth,London,11,7/17/2012,542388,2018.6,32,Mascarpone Fabioli,25.6,6,14,Formaggi Fortini s.r.l.,Elio Rossi,(0544) 60323
12,Patricio-Simpson,Buenos Aires,12,7/18/2012,542389,100.8,21,Sir Rodney's Scones,8,10,8,Specialty Biscuits Ltd.,Peter Wilson,(161) 555-4448
12,Patricio-Simpson,Buenos Aires,12,7/18/2012,542389,100.8,37,Gravad lax,20.8,1,17,Svensk Sjöföda AB,Michael Björn,08-123 45 67
13,Francisco-Chang,México D.F.,13,7/19/2012,542390,1746.2,41,Jack's New England Clam Chowder,7.7,16,19,New England Seafood Cannery,Robb Merchant,(617) 555-3267
13,Francisco-Chang,México D.F.,13,7/19/2012,542390,1746.2,57,Ravioli Angelo,15.6,50,26,Pasta Buttini s.r.l.,Giovanni Giudici,(089) 6547665
13,Francisco-Chang,México D.F.,13,7/19/2012,542390,1746.2,62,Tarte au sucre,39.4,15,29,Forêts d'érables,Chantal Goulet,(514) 555-2955
13,Francisco-Chang,México D.F.,13,7/19/2012,542390,1746.2,70,Outback Lager,12,21,7,Pavlova Ltd.,Ian Devling,(03) 444-2343
14,Yang-Wang,Bern,14,7/19/2012,542391,448,21,Sir Rodney's Scones,8,20,8,Specialty Biscuits Ltd.,Peter Wilson,(161) 555-4448
14,Yang-Wang,Bern,14,7/19/2012,542391,448,35,Steeleye Stout,14.4,20,16,Bigfoot Breweries,Cheryl Saylor,(503) 555-9931
15,Pedro-Afonso,Sao Paulo,15,7/22/2012,542392,624.8,5,Chef Anton's Gumbo Mix,17,12,2,New Orleans Cajun Delights,Shelley Burke,(100) 555-4822
15,Pedro-Afonso,Sao Paulo,15,7/22/2012,542392,624.8,7,Uncle Bob's Organic Dried Pears,24,15,3,Grandma Kelly's Homestead,Regina Murphy,(313) 555-5735
15,Pedro-Afonso,Sao Paulo,15,7/22/2012,542392,624.8,56,Gnocchi di nonna Alice,30.4,2,26,Pasta Buttini s.r.l.,Giovanni Giudici,(089) 6547665
16,Elizabeth-Brown,London,16,7/23/2012,542393,2464.8,16,Pavlova,13.9,60,7,Pavlova Ltd.,Ian Devling,(03) 444-2343
